Generation,Highest Fp,Average Fp,Iteration,Fp
,,,20.57320099,1.64845E+11
,,,20.6426799,1.36354E+11
,,,20.71215881,1.8259E+11
,,,20.78163772,1.8259E+11
,,,20.85111663,1.8259E+11
,,,20.92059553,1.79606E+11
,,,20.99007444,1.8259E+11
,,,21.05955335,1.8259E+11
,,,21.12903226,1.8259E+11
,,,21.19851117,1.8259E+11
,,,21.26799007,1.00605E+11
,,,21.33746898,1.82056E+11
,,,21.40694789,1.82056E+11
,,,21.4764268,1.82056E+11
,,,21.54590571,1.82056E+11
,,,21.61538462,1.82056E+11
,,,21.68486352,1.82056E+11
,,,21.75434243,1.82056E+11
,,,21.82382134,1.82056E+11
,,,21.89330025,1.82056E+11
,,,21.96277916,1.82056E+11
,,,22.03225806,1.82056E+11
,,,22.10173697,1.82056E+11
,,,22.17121588,1.82056E+11
,,,22.24069479,1.82056E+11
,,,22.3101737,1.82056E+11
,,,22.37965261,1.82056E+11
,,,22.44913151,1.82056E+11
,,,22.51861042,1.68604E+11
,,,22.58808933,87625298167
,,,22.65756824,1.82591E+11
,,,22.72704715,1.21773E+11
,,,22.79652605,1.8259E+11
,,,22.86600496,1.8259E+11
,,,22.93548387,1.8259E+11
,,,23.00496278,1.8259E+11
,,,23.07444169,1.61917E+11
,,,23.1439206,86069996455
,,,23.2133995,1.84989E+11
,,,23.28287841,1.8259E+11
,,,23.35235732,1.8259E+11
,,,23.42183623,1.86673E+11
,,,23.49131514,1.82592E+11
,,,23.56079404,1.82592E+11
,,,23.63027295,1.82592E+11
,,,23.69975186,1.82592E+11
,,,23.76923077,1.79608E+11
,,,23.83870968,1.82592E+11
,,,23.90818859,1.82592E+11
,,,23.97766749,1.48084E+11
,,,24.0471464,1.74983E+11
,,,24.11662531,1.82626E+11
,,,24.18610422,1.82626E+11
,,,24.25558313,1.84989E+11
,,,24.32506203,1.8259E+11
,,,24.39454094,1.8259E+11
,,,24.46401985,1.84989E+11
,,,24.53349876,1.86671E+11
,,,24.60297767,1.82592E+11
